evidence,question_code,type,question_fr,question_en,evidence_rep,meaning_fr,meaning_en
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_cuisse_G_,cuisse(G),thigh(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_côté_du_cou_D_,côté du cou(D),side of the neck(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_côté_du_cou_G_,côté du cou(G),side of the neck(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_côté_du_thorax_D_,côté du thorax(D),side of the chest(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_côté_du_thorax_G_,côté du thorax(G),side of the chest(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_dessus_de_tête,dessus de tête,top of the head
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_doigt_annulaire__D_,doigt(annulaire)(D),finger (ring finger)(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_doigt_annulaire__G_,doigt(annulaire)(G),finger (ring finger)(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_doigt_auriculaire__D_,doigt(auriculaire)(D),finger (little finger)(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_doigt_auriculaire__G_,doigt(auriculaire)(G),finger (little finger)(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_doigt_index__D_,doigt(index)(D),finger (index)(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_doigt_index__G_,doigt(index)(G),finger (index)(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_doigt_majeur__D_,doigt(majeur)(D),finger (middle)(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_doigt_majeur__G_,doigt(majeur)(G),finger (middle)(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_face_dorsale_du_pied_D_,face dorsale du pied(D),dorsal aspect of the foot(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_face_dorsale_du_pied_G_,face dorsale du pied(G),dorsal aspect of the foot(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_face_dorsale_du_poignet_D_,face dorsale du poignet(D),dorsal aspect of the wrist(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_face_dorsale_du_poignet_G_,face dorsale du poignet(G),dorsal aspect of the wrist(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_face_palmaire_du_poignet_D_,face palmaire du poignet(D),palmar face of the wrist(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_face_palmaire_du_poignet_G_,face palmaire du poignet(G),palmar face of the wrist(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_flanc_D_,flanc(D),flank(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_flanc_G_,flanc(G),flank(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_fosse_iliaque_D_,fosse iliaque(D),iliac fossa(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_fosse_iliaque_G_,fosse iliaque(G),iliac fossa(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_front,front,forehead
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_genou_D_,genou(D),knee(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_genou_G_,genou(G),knee(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_hanche_D_,hanche(D),hip(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_hanche_G_,hanche(G),hip(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_haut_du_thorax,haut du thorax,upper chest
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_hypochondre_D_,hypochondre(D),hypochondrium(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_hypochondre_G_,hypochondre(G),hypochondrium(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_ischio_D_,ischio(D),ischio jambier(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_ischio_G_,ischio(G),ischio jambier(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_joue_D_,joue(D),cheek(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_joue_G_,joue(G),cheek(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_mollet_D_,mollet(D),calf(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_mollet_G_,mollet(G),calf(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_nez,nez,nose
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_nulle_part,nulle part,nowhere
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_occiput,occiput,occiput
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_oeil_D_,oeil(D),eye(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_oeil_G_,oeil(G),eye(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_omoplate_D_,omoplate(D),scapula(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_omoplate_G_,omoplate(G),scapula(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_oreille_D_,oreille(D),ear(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_oreille_G_,oreille(G),ear(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_orteil__1__D_,orteil (1)(D),toe (1)(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_orteil__1__G_,orteil (1)(G),toe (1)(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_orteil__2__D_,orteil (2)(D),toe (2)(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_orteil__2__G_,orteil (2)(G),toe (2)(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_orteil__3__D_,orteil (3)(D),toe (3)(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_orteil__3__G_,orteil (3)(G),toe (3)(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_palais,palais,palace
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_petit_orteil__4__D_,petit orteil (4)(D),little toe (4)(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_petit_orteil__4__G_,petit orteil (4)(G),little toe (4)(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_pharynx,pharynx,pharynx
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_plante_du_pied_D_,plante du pied(D),sole(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_plante_du_pied_G_,plante du pied(G),sole(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_pouce_D_,pouce(D),thumb(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_pouce_G_,pouce(G),thumb(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_pubis,pubis,pubis
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_sein_D_,sein(D),breast(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_sein_G_,sein(G),breast(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_sous_la_machoire,sous la machoire,under the jaw
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_talon_D_,talon(D),heel(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_tempe_D_,tempe(D),temple(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_tempe_G_,tempe(G),temple(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_testicule_D_,testicule(D),testicle(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_testicule_G_,testicule(G),testicle(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_thorax_postérieur_D_,thorax postérieur(D),posterior chest wall(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_thorax_postérieur_G_,thorax postérieur(G),posterior chest wall(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_tibia_D_,tibia(D),tibia(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_tibia_G_,tibia(G),tibia(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_trachée,trachée,trachea
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_triceps_D_,triceps(D),triceps(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_triceps_G_,triceps(G),triceps(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_ventre,ventre,belly
